Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T14:00:32.447Z,0.01,119.30,MiB,BEFORE
2025-04-03T14:00:38.983Z,0.00,119.10,MiB,BEFORE
2025-04-03T14:00:43.986Z,11.79,85.64,MiB,BEFORE
2025-04-03T14:00:48.983Z,0.00,75.95,MiB,DURING
2025-04-03T14:00:48.987Z,5.04,78.17,MiB,DURING
2025-04-03T14:00:51.511Z,194.59,316.30,MiB,DURING
2025-04-03T14:00:52.512Z,135.35,452.80,MiB,DURING
2025-04-03T14:00:53.512Z,141.38,508.30,MiB,DURING
2025-04-03T14:00:54.514Z,85.41,519.80,MiB,DURING
2025-04-03T14:00:55.515Z,130.74,531.70,MiB,DURING
2025-04-03T14:00:56.516Z,126.38,545.40,MiB,DURING
2025-04-03T14:00:57.517Z,100.22,553.70,MiB,DURING
2025-04-03T14:00:58.518Z,91.39,726.20,MiB,DURING
2025-04-03T14:00:59.519Z,107.65,840.50,MiB,DURING
2025-04-03T14:01:00.520Z,163.31,1013.00,MiB,DURING
2025-04-03T14:01:01.521Z,100.28,1.01,GiB,DURING
2025-04-03T14:01:02.522Z,100.10,1.08,GiB,DURING
2025-04-03T14:01:03.523Z,105.51,1.16,GiB,DURING
2025-04-03T14:01:04.524Z,100.25,1.24,GiB,DURING
2025-04-03T14:01:05.525Z,100.35,1.33,GiB,DURING
2025-04-03T14:01:06.526Z,100.14,1.44,GiB,DURING
2025-04-03T14:01:07.527Z,99.07,1.46,GiB,DURING
2025-04-03T14:01:08.527Z,100.98,1.34,GiB,DURING
2025-04-03T14:01:09.528Z,109.90,1.35,GiB,DURING
2025-04-03T14:01:10.529Z,77.23,1.34,GiB,DURING
2025-04-03T14:01:11.530Z,92.54,1.35,GiB,DURING
2025-04-03T14:01:12.531Z,91.37,1.37,GiB,DURING
2025-04-03T14:01:13.532Z,91.27,1.37,GiB,DURING
2025-04-03T14:01:14.533Z,85.68,1.38,GiB,DURING
2025-04-03T14:01:15.533Z,86.17,1.38,GiB,DURING
2025-04-03T14:01:16.534Z,86.70,1.35,GiB,DURING
2025-04-03T14:01:17.535Z,95.12,1.36,GiB,DURING
2025-04-03T14:01:18.536Z,88.26,1.35,GiB,DURING
2025-04-03T14:01:19.535Z,92.90,1.36,GiB,DURING
2025-04-03T14:01:20.536Z,92.04,1.36,GiB,DURING
2025-04-03T14:01:21.537Z,93.62,1.35,GiB,DURING
2025-04-03T14:01:22.538Z,145.47,1.15,GiB,DURING
2025-04-03T14:01:23.538Z,119.91,1.17,GiB,DURING
2025-04-03T14:01:24.539Z,91.88,1.17,GiB,DURING
2025-04-03T14:01:25.540Z,88.49,1.17,GiB,DURING
2025-04-03T14:01:26.541Z,82.21,1.17,GiB,DURING
2025-04-03T14:01:27.542Z,84.48,1.17,GiB,DURING
2025-04-03T14:01:28.542Z,83.44,1.18,GiB,DURING
2025-04-03T14:01:29.543Z,84.24,1.18,GiB,DURING
2025-04-03T14:01:30.544Z,84.22,1.19,GiB,DURING
2025-04-03T14:01:31.545Z,80.35,1.19,GiB,DURING
2025-04-03T14:01:32.546Z,89.74,1.20,GiB,DURING
2025-04-03T14:01:33.546Z,83.78,1.20,GiB,DURING
2025-04-03T14:01:34.547Z,81.21,1.20,GiB,DURING
2025-04-03T14:01:35.548Z,86.65,1.20,GiB,DURING
2025-04-03T14:01:36.549Z,84.71,1.20,GiB,DURING
2025-04-03T14:01:37.550Z,83.66,1.21,GiB,DURING
2025-04-03T14:01:38.551Z,80.72,1.21,GiB,DURING
2025-04-03T14:01:39.551Z,82.79,1.21,GiB,DURING
2025-04-03T14:01:40.552Z,82.18,1.22,GiB,DURING
2025-04-03T14:01:41.553Z,127.76,505.70,MiB,DURING
2025-04-03T14:01:42.553Z,107.14,833.90,MiB,DURING
2025-04-03T14:01:43.554Z,109.46,874.10,MiB,DURING
2025-04-03T14:01:44.555Z,120.44,730.30,MiB,DURING
2025-04-03T14:01:45.554Z,102.35,812.40,MiB,DURING
2025-04-03T14:01:46.555Z,101.88,1.10,GiB,DURING
2025-04-03T14:01:47.556Z,126.90,617.10,MiB,DURING
2025-04-03T14:01:48.556Z,101.64,809.00,MiB,DURING
2025-04-03T14:01:49.557Z,100.17,1.12,GiB,DURING
2025-04-03T14:01:50.558Z,153.49,367.80,MiB,DURING
2025-04-03T14:01:51.558Z,87.85,426.40,MiB,DURING
2025-04-03T14:01:52.559Z,152.49,483.80,MiB,DURING,js
2025-04-03T14:01:53.560Z,174.52,519.30,MiB,DURING
2025-04-03T14:01:54.561Z,102.54,518.20,MiB,DURING
2025-04-03T14:01:55.561Z,157.12,578.40,MiB,DURING
2025-04-03T14:01:56.562Z,133.52,521.60,MiB,FINISHED_OK
2025-04-03T14:01:57.563Z,0.01,521.60,MiB,FINISHED_OK
2025-04-03T14:01:58.055Z,0.01,521.60,MiB,FINISHED_OK
2025-04-03T14:01:58.563Z,0.00,521.50,MiB,FINISHED_OK
