Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T16:19:49.258Z,0.01,119.30,MiB,BEFORE
2025-04-03T16:19:55.797Z,0.00,119.20,MiB,BEFORE
2025-04-03T16:20:00.799Z,0.01,119.20,MiB,BEFORE
2025-04-03T16:20:05.793Z,0.00,119.20,MiB,DURING
2025-04-03T16:20:05.799Z,6.07,121.70,MiB,DURING
2025-04-03T16:20:08.322Z,197.24,307.50,MiB,DURING
2025-04-03T16:20:09.323Z,70.33,373.40,MiB,DURING
2025-04-03T16:20:10.323Z,1.55,371.20,MiB,DURING
2025-04-03T16:20:11.324Z,18.86,411.20,MiB,DURING
2025-04-03T16:20:12.325Z,38.87,386.70,MiB,DURING
2025-04-03T16:20:13.326Z,76.85,450.20,MiB,DURING
2025-04-03T16:20:14.327Z,26.08,438.20,MiB,DURING
2025-04-03T16:20:15.328Z,4.89,441.60,MiB,DURING
2025-04-03T16:20:16.329Z,47.32,445.90,MiB,DURING
2025-04-03T16:20:17.330Z,8.61,452.30,MiB,DURING
2025-04-03T16:20:18.331Z,22.51,495.30,MiB,DURING
2025-04-03T16:20:19.332Z,27.39,459.60,MiB,DURING
2025-04-03T16:20:20.333Z,57.89,503.10,MiB,DURING
2025-04-03T16:20:21.334Z,60.09,614.00,MiB,DURING
2025-04-03T16:20:22.335Z,103.87,676.90,MiB,DURING
2025-04-03T16:20:23.336Z,100.19,695.80,MiB,DURING
2025-04-03T16:20:24.337Z,100.15,761.90,MiB,DURING
2025-04-03T16:20:25.338Z,115.72,687.40,MiB,DURING
2025-04-03T16:20:26.339Z,124.33,751.60,MiB,DURING
2025-04-03T16:20:27.340Z,128.04,478.10,MiB,DURING
2025-04-03T16:20:28.341Z,91.63,565.10,MiB,DURING
2025-04-03T16:20:29.342Z,8.12,612.30,MiB,DURING
2025-04-03T16:20:30.343Z,49.05,729.90,MiB,DURING
2025-04-03T16:20:31.344Z,102.58,839.20,MiB,DURING
2025-04-03T16:20:32.345Z,100.08,887.80,MiB,DURING
2025-04-03T16:20:33.346Z,104.24,831.20,MiB,DURING
2025-04-03T16:20:34.347Z,44.79,830.60,MiB,DURING
2025-04-03T16:20:35.348Z,20.25,860.80,MiB,DURING
2025-04-03T16:20:36.349Z,51.50,938.00,MiB,DURING
2025-04-03T16:20:37.350Z,98.27,583.80,MiB,DURING
2025-04-03T16:20:38.351Z,18.93,632.30,MiB,DURING
2025-04-03T16:20:39.352Z,43.41,732.00,MiB,DURING
2025-04-03T16:20:40.353Z,100.60,806.10,MiB,DURING
2025-04-03T16:20:41.354Z,55.56,684.80,MiB,DURING
2025-04-03T16:20:42.355Z,2.40,685.90,MiB,DURING
2025-04-03T16:20:43.356Z,0.01,685.80,MiB,DURING
2025-04-03T16:20:44.356Z,36.65,696.60,MiB,DURING
2025-04-03T16:20:45.357Z,8.37,713.70,MiB,DURING
2025-04-03T16:20:46.358Z,53.06,720.20,MiB,DURING
2025-04-03T16:20:47.359Z,4.23,712.30,MiB,DURING
2025-04-03T16:20:48.360Z,48.94,793.30,MiB,DURING
2025-04-03T16:20:49.361Z,10.44,731.40,MiB,DURING
2025-04-03T16:20:50.362Z,60.72,874.20,MiB,DURING
2025-04-03T16:20:51.363Z,56.48,722.00,MiB,DURING
2025-04-03T16:20:52.364Z,16.02,738.30,MiB,DURING
2025-04-03T16:20:53.365Z,93.19,762.70,MiB,DURING
2025-04-03T16:20:54.366Z,3.32,747.00,MiB,DURING
2025-04-03T16:20:55.367Z,41.45,792.20,MiB,DURING
2025-04-03T16:20:56.368Z,90.68,862.10,MiB,DURING
2025-04-03T16:20:57.369Z,110.25,726.00,MiB,DURING
2025-04-03T16:20:58.370Z,1.04,725.40,MiB,DURING
2025-04-03T16:20:59.371Z,24.39,739.20,MiB,DURING
2025-04-03T16:21:00.371Z,92.95,881.00,MiB,DURING
2025-04-03T16:21:01.372Z,100.51,928.10,MiB,DURING
2025-04-03T16:21:02.373Z,90.46,920.40,MiB,DURING
2025-04-03T16:21:03.374Z,90.44,931.90,MiB,DURING
2025-04-03T16:21:04.375Z,106.03,557.00,MiB,DURING
2025-04-03T16:21:05.374Z,35.16,565.10,MiB,DURING
2025-04-03T16:21:06.375Z,11.97,580.90,MiB,DURING
2025-04-03T16:21:07.375Z,75.56,559.00,MiB,DURING
2025-04-03T16:21:08.376Z,8.02,572.80,MiB,DURING
2025-04-03T16:21:09.377Z,62.03,587.90,MiB,DURING
2025-04-03T16:21:10.377Z,3.41,586.80,MiB,DURING
2025-04-03T16:21:11.378Z,1.22,584.00,MiB,DURING
2025-04-03T16:21:12.379Z,37.14,583.30,MiB,DURING
2025-04-03T16:21:13.380Z,4.69,581.30,MiB,DURING
2025-04-03T16:21:14.381Z,40.18,581.00,MiB,DURING
2025-04-03T16:21:15.382Z,12.75,586.70,MiB,DURING
2025-04-03T16:21:16.383Z,94.70,570.50,MiB,DURING
2025-04-03T16:21:17.384Z,17.03,575.30,MiB,DURING
2025-04-03T16:21:18.385Z,12.68,594.80,MiB,DURING
2025-04-03T16:21:19.386Z,95.33,604.80,MiB,DURING
2025-04-03T16:21:20.387Z,7.43,622.60,MiB,DURING
2025-04-03T16:21:21.387Z,22.47,662.80,MiB,DURING
2025-04-03T16:21:22.388Z,93.66,677.90,MiB,DURING
2025-04-03T16:21:23.389Z,5.11,688.20,MiB,DURING
2025-04-03T16:21:24.389Z,6.44,694.20,MiB,DURING
2025-04-03T16:21:25.390Z,67.35,698.70,MiB,DURING
2025-04-03T16:21:26.391Z,7.04,709.50,MiB,DURING
2025-04-03T16:21:27.392Z,29.67,773.60,MiB,DURING
2025-04-03T16:21:28.393Z,21.81,719.90,MiB,DURING
2025-04-03T16:21:29.394Z,2.17,719.60,MiB,DURING
2025-04-03T16:21:30.395Z,0.20,717.30,MiB,DURING
2025-04-03T16:21:31.396Z,39.28,716.00,MiB,DURING
2025-04-03T16:21:32.397Z,2.03,716.20,MiB,DURING
2025-04-03T16:21:33.398Z,40.64,730.40,MiB,DURING
2025-04-03T16:21:34.400Z,6.61,737.00,MiB,DURING
2025-04-03T16:21:35.401Z,42.53,747.70,MiB,DURING
2025-04-03T16:21:36.401Z,10.18,761.50,MiB,DURING
2025-04-03T16:21:37.402Z,45.82,757.90,MiB,DURING
2025-04-03T16:21:38.403Z,6.32,764.90,MiB,DURING
2025-04-03T16:21:39.403Z,46.35,773.60,MiB,DURING
2025-04-03T16:21:40.404Z,24.16,664.20,MiB,DURING
2025-04-03T16:21:41.405Z,48.12,722.10,MiB,DURING
2025-04-03T16:21:42.406Z,40.16,678.10,MiB,DURING
2025-04-03T16:21:43.406Z,12.46,694.00,MiB,DURING
2025-04-03T16:21:44.407Z,57.66,769.80,MiB,DURING
2025-04-03T16:21:45.408Z,37.72,693.00,MiB,DURING
2025-04-03T16:21:46.409Z,7.72,710.50,MiB,DURING
2025-04-03T16:21:47.410Z,47.57,722.70,MiB,DURING
2025-04-03T16:21:48.411Z,7.91,726.40,MiB,DURING
2025-04-03T16:21:49.411Z,19.58,772.90,MiB,DURING
2025-04-03T16:21:50.412Z,43.91,733.10,MiB,DURING
2025-04-03T16:21:51.413Z,14.82,763.50,MiB,DURING
2025-04-03T16:21:52.414Z,67.18,775.50,MiB,DURING
2025-04-03T16:21:53.414Z,11.26,750.90,MiB,DURING
2025-04-03T16:21:54.415Z,11.90,767.50,MiB,DURING
2025-04-03T16:21:55.416Z,90.06,770.40,MiB,DURING
2025-04-03T16:21:56.416Z,12.68,784.40,MiB,DURING
2025-04-03T16:21:57.416Z,18.38,830.90,MiB,DURING
2025-04-03T16:21:58.417Z,101.14,882.50,MiB,DURING
2025-04-03T16:21:59.418Z,52.33,786.40,MiB,DURING
2025-04-03T16:22:00.418Z,16.92,800.90,MiB,DURING
2025-04-03T16:22:01.419Z,58.79,877.00,MiB,DURING
2025-04-03T16:22:02.419Z,100.49,901.40,MiB,DURING
2025-04-03T16:22:03.420Z,44.10,768.50,MiB,DURING
2025-04-03T16:22:04.421Z,19.30,782.00,MiB,DURING
2025-04-03T16:22:05.422Z,66.60,849.70,MiB,DURING
2025-04-03T16:22:06.423Z,103.92,886.60,MiB,DURING
2025-04-03T16:22:07.424Z,110.00,868.80,MiB,DURING
2025-04-03T16:22:08.425Z,10.42,760.70,MiB,DURING
2025-04-03T16:22:09.426Z,17.35,774.40,MiB,DURING
2025-04-03T16:22:10.427Z,89.67,886.70,MiB,DURING
2025-04-03T16:22:11.428Z,54.84,772.60,MiB,DURING
2025-04-03T16:22:12.429Z,6.52,783.30,MiB,DURING
2025-04-03T16:22:13.430Z,43.06,796.80,MiB,DURING
2025-04-03T16:22:14.431Z,9.63,803.00,MiB,DURING
2025-04-03T16:22:15.432Z,60.59,807.40,MiB,DURING
2025-04-03T16:22:16.433Z,9.20,823.60,MiB,DURING
2025-04-03T16:22:17.434Z,37.77,884.10,MiB,DURING
2025-04-03T16:22:18.435Z,8.14,821.40,MiB,DURING
2025-04-03T16:22:19.436Z,28.22,795.60,MiB,DURING
2025-04-03T16:22:20.437Z,99.97,883.00,MiB,DURING
2025-04-03T16:22:21.438Z,54.29,807.40,MiB,DURING
2025-04-03T16:22:22.439Z,2.38,805.70,MiB,DURING
2025-04-03T16:22:23.440Z,1.87,817.20,MiB,DURING
2025-04-03T16:22:24.441Z,30.87,818.60,MiB,DURING
2025-04-03T16:22:25.442Z,23.38,847.40,MiB,DURING
2025-04-03T16:22:26.443Z,67.86,903.70,MiB,DURING
