Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T16:06:34.742Z,0.01,119.20,MiB,BEFORE
2025-04-03T16:06:41.272Z,0.00,119.20,MiB,BEFORE
2025-04-03T16:06:46.273Z,15.86,85.98,MiB,BEFORE
2025-04-03T16:06:51.275Z,0.00,85.97,MiB,DURING
2025-04-03T16:06:51.278Z,6.10,87.12,MiB,DURING
2025-04-03T16:06:53.804Z,90.18,410.50,MiB,DURING
2025-04-03T16:06:54.806Z,187.85,502.40,MiB,DURING
2025-04-03T16:06:55.806Z,80.31,553.50,MiB,DURING
2025-04-03T16:06:56.807Z,13.93,574.40,MiB,DURING
2025-04-03T16:06:57.808Z,54.59,597.30,MiB,DURING
2025-04-03T16:06:58.809Z,11.71,597.00,MiB,DURING
2025-04-03T16:06:59.809Z,5.54,601.00,MiB,DURING
2025-04-03T16:07:00.810Z,20.56,616.20,MiB,DURING
2025-04-03T16:07:01.811Z,10.32,621.30,MiB,DURING
2025-04-03T16:07:02.812Z,44.12,641.00,MiB,DURING
2025-04-03T16:07:03.813Z,15.75,641.60,MiB,DURING
2025-04-03T16:07:04.814Z,9.20,633.80,MiB,DURING
2025-04-03T16:07:05.814Z,1.60,632.80,MiB,DURING
2025-04-03T16:07:06.815Z,28.67,634.30,MiB,DURING
2025-04-03T16:07:07.816Z,21.47,640.50,MiB,DURING
2025-04-03T16:07:08.817Z,10.27,631.80,MiB,DURING
2025-04-03T16:07:09.818Z,4.70,636.30,MiB,DURING
2025-04-03T16:07:10.819Z,22.39,678.00,MiB,DURING
2025-04-03T16:07:11.820Z,46.84,496.90,MiB,DURING
2025-04-03T16:07:12.821Z,165.69,541.30,MiB,DURING
2025-04-03T16:07:13.822Z,10.33,547.50,MiB,DURING
2025-04-03T16:07:14.823Z,38.40,583.10,MiB,DURING
2025-04-03T16:07:15.824Z,30.67,583.10,MiB,DURING
2025-04-03T16:07:16.825Z,11.71,605.10,MiB,DURING
2025-04-03T16:07:17.825Z,64.22,605.70,MiB,DURING
2025-04-03T16:07:18.827Z,93.36,755.10,MiB,DURING
2025-04-03T16:07:19.828Z,100.66,760.50,MiB,DURING
2025-04-03T16:07:20.829Z,100.89,801.50,MiB,DURING
2025-04-03T16:07:21.830Z,102.65,829.10,MiB,DURING
